Time|User|Action|Id|Table|Fields

23/03/2017 09:39:56|admin|edit|41|user|1-1

23/03/2017 11:07:24|admin|add|41|steersman|Nguyễn Văn A-090 208 5911-232323234-MT01-ACB2323001-GP3236465454-1489618800-1490137200-1490310000

23/03/2017 11:07:54|admin|edit|41|steersman|Nguyễn Văn A-090 208 5911-232323234-MT01-ACB2323001-GP3236465454-1489618800-1490137200-1490310000

23/03/2017 14:32:07|admin|add|1|vehicle|51C-34567-WLU20102034-1

23/03/2017 14:32:55|admin|edit|1|vehicle|51C-34567-WLU201020341-1

23/03/2017 14:33:56|admin|edit|41|steersman|Nguyễn Văn A1-090 208 59111-2323232341-MT011-ACB23230011-GP32364654541-1489791600-1490310000-1490911200

23/03/2017 14:34:21|admin|edit|41|steersman|Nguyễn Văn A-090 208 5911-21474836471-MT01-ACB2323001-GP3236465454-1489791600-1490310000-1490911200

23/03/2017 14:35:48|admin|add|54|driver|1-1490310000-1805842800-41

23/03/2017 14:40:48|admin|edit|54|driver|1-1489618800-1805151600-41

23/03/2017 15:07:15|admin|add|55|driver|1-1490738400-1806271200-41

23/03/2017 15:07:41|admin|edit|55|driver|1-1490824800-1806357600-41

23/03/2017 15:08:13|admin|add|56|driver|1-1492034400-1807567200-41

23/03/2017 15:58:13|admin|add|37|vehicle_work|1-1490223600-1805756400

23/03/2017 15:58:36|admin|add|38|vehicle_work|1-1490911200-1806444000

23/03/2017 15:58:46|admin|edit|37|vehicle_work|1-1490223600-1490652000

23/03/2017 16:02:15|admin|delete|38|vehicle_work|

23/03/2017 16:02:19|admin|delete|37|vehicle_work|

23/03/2017 16:02:44|admin|add|39|vehicle_work|1-1490137200-1805670000

23/03/2017 16:02:52|admin|add|40|vehicle_work|1-1490824800-1806357600

23/03/2017 16:41:32|admin|add|1|oil|Rỗng-0.38

23/03/2017 16:42:35|admin|add|2|oil|Lên-0.58

24/03/2017 08:48:25|admin|add|1|place|1-Cát Lái

24/03/2017 08:48:57|admin|edit|1|place|1-Cát Lái1

24/03/2017 08:49:06|admin|edit|1|place|1-Cát Lái

24/03/2017 13:35:30|admin|add|42|steersman|ABC-090 208 5988-42323232323-MT02-545454545-2323-1490223600-1490223600-

24/03/2017 13:35:54|admin|add|2|vehicle|72F-4321--2

24/03/2017 13:38:22|admin|edit|55|driver|1-1490824800-1491948000-42

24/03/2017 13:51:22|admin|add|2|place|25-Aeo

24/03/2017 13:55:33|admin|add|660|warehouse|Cát Lái-1-60000-20000-20000-20000-10000-10000-1490310000-1805842800-1

24/03/2017 14:02:51|admin|add|661|warehouse|Cát Lái-1-0-0-0-0-0-0-1490911200-1806444000-1

24/03/2017 14:06:09|admin|edit|661|warehouse|Cát Lái-1-20000-0-0-0-0-20000-1490911200-1806444000-1

25/03/2017 10:29:52|admin|delete|2174|road|

25/03/2017 10:31:55|admin|add|2175|road|0.96-1-2-1-27273-200000-50000-100000-1490310000-1585004400-1-1-2

25/03/2017 10:58:30|admin|add|2176|road|0.96-1-2-2-18182-0-0-0-1490911200-1585605600-1-1-2

25/03/2017 11:06:15|admin|edit|2176|road|0.96-1-2-2-18182-0-2000-0-1490911200-1585605600-1

25/03/2017 11:07:14|admin|add|2177|road|0.38-0-1-2-9091-0-0-0-1493503200-1588197600-1-1-2

25/03/2017 11:12:21|admin|edit|2176|road|0.96-1-2-2-18182-0-2000-0-1490824800-1493416800-1

25/03/2017 11:12:41|admin|edit|2177|road|0.38-0-1-2-9091-0-0-0-1492207200-1588197600-1

27/03/2017 08:21:07|admin|edit|2175|road|0.96-1-2-1-27273-200000-50000-100000-1490310000-1490738400-1

28/03/2017 08:54:08|admin|add|3|oil|Xuống-0.6

28/03/2017 08:55:39|admin|edit|3|oil|Xuống-0.7

28/03/2017 08:57:27|admin|delete|3|oil|

28/03/2017 09:47:06|admin|add|43|steersman|a-0--a----1489618800-

28/03/2017 09:47:45|admin|edit|43|steersman|a-0534-02323-a-323-2323--94266000-1489618800-

28/03/2017 09:48:44|admin|edit|43|steersman|a-0534-2323-a-323-2323--94266000-1489618800-

28/03/2017 09:50:43|admin|edit|43|steersman|aa-0534-2323-as-323-2323--94266000-1489618800-

28/03/2017 09:52:55|admin|delete|43|steersman|

28/03/2017 10:01:00|admin|add|3|vehicle|rre-fdf-1

